stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding
110,Capuchinas - Líneas 6 y 18,"10ª avenida y 10ª calle, zona 1.",14.6385546,-90.5098923,0,,America/Guatemala,1
111,San Martín - Dir. Plaza Barrios/FEGUA,"20 avenida y 1ª calle, zona 1. En dirección a Plaza Barrios/FEGUA.",14.6449348,-90.4964517,0,,America/Guatemala,1
112,Atlántida - San Rafael - Paraíso,"11 avenida (Bulevar Álvaro Arzú), zona 18. En dirección a Paraíso.",14.6510201,-90.4779892,0,,America/Guatemala,1
113,Paraíso,"12 calle y 25 avenida, zona 18.",14.6589799,-90.4466713,0,,America/Guatemala,1
114,San Rafael,"12 calle y 4ª avenida Colonia San Rafael, zona 18.",14.654981976,-90.4520611903,0,,America/Guatemala,1
115,Estación Palacio de los Deportes Norte,,14.622884,-90.512888,0,,America/Guatemala,1
116,Estación La Palmita ,,14.621709,-90.505708,0,,America/Guatemala,1
117,Estacion Parque Navidad,,14.624694,-90.501337,0,,America/Guatemala,1
118,Estación Arrivillaga,,14.626814,-90.495695,0,,America/Guatemala,1
119,Estacion Cipreses Norte,,14.636173,-90.493209,0,,America/Guatemala,1
120,Estacion Mercado La Palmita ,,14.622502,-90.506793,0,,America/Guatemala,1
121,Estación Palacio de los Deportes Sur,,14.622983,-90.512408,0,,America/Guatemala,1
122,Estacion Parque Colon,,14.639506,-90.507199,0,,America/Guatemala,1
123,Estación Vivibien,,14.624372,-90.499584,0,,America/Guatemala,1
124,Estación Matamoros ,,14.6404609,-90.5037806,0,,America/Guatemala,1
125,Estación Jardines de la Asunción Sur,,14.632392,-90.494629,0,,America/Guatemala,1
126,Estación Jardines de la Asunción Norte,,14.633008,-90.494228,0,,America/Guatemala,1
127,Estación Puente de la Penitenciaría,,14.624905,-90.51506,0,,America/Guatemala,1
128,Estacion Cipreses Sur,,14.635417,-90.493313,0,,America/Guatemala,1
